conm,gvkey,datafqtr,bkvq,atq,ltq,cstkq,sic,saleq,isin,sedol,dup
BANCO DE CREDITO DEL PERU,031646,2018Q1,13595.837,138434.48,123688.2,8770.3652,6020,,PEP120001008,2067854,0
CHANG HWA COMMERCIAL BANK,031649,2018Q1,151010.98,2066450.1,1915043.1,94130.008,6020,,TW0002801008,6187855,0
HUA NAN FINANCIAL HOLDING CO,031654,2018Q1,168677.8,2599544,2430268,110465.2,6020,,TW0002880002,6411877,0
IRSA INVERSIONES Y REPSTN SA,031717,2018Q1,34848,239354,192448,575,6512,,ARP588091073,2458577,0
GATES INDUSTRIAL CORP PLC,032886,2018Q1,-1939.5,6840.1001,4525,2.9000001,3560,852,GB0008962655,0896265,0
CENTRAL PUERTO SA,060844,2018Q1,14676.749,27960.703,13103.899,1514.022,4931,1804.152,ARP2354W1188,2184861,0
ASML HOLDING NV,061214,2018Q1,5174.6992,20310.699,7831,12479.7,3559,2285,NL0010273215,B929F46,0
KONINKLIJKE KPN NV,061440,2018Q1,205,13664,10204,3460,4813,1402,NL0000009082,5956078,0
CREDICORP LTD,061452,2018Q1,,170543.78,148757.11,1318.993,6020,,BMG2519Y1084,2232986,0
INDAH KIAT PULP & PAPER (PT),061533,2018Q1,,7983.5142,4611.3418,2189.0161,2621,843.71503,ID1000062201,6462422,0
POINTER TELOCATION LTD,061536,2018Q1,22.857002,95.943001,30.702,5.9949999,7389,20.882999,IL0010826274,B27WTD8,0
ALMENDRAL SA,061538,2018Q1,876722.5,3842061.5,2380743,550889.63,9998,461181.56,CLP0170E1065,2192574,0
TELEKOMUNIKASI INDONESIA,061548,2018Q1,114502000,206600000,86459000,5040000,4812,32343000,ID1000129000,BD4T6W7,0
ENI SPA,061616,2018Q1,45274,114324,66092,4005,2911,17932,IT0003132476,7145056,0
CORE LABORATORIES NV,061759,2018Q1,-36.68898,597.14001,445.564,1.148,1389,170.01801,NL0000200384,B8F2TN2,0
GRUPO ELEKTRA SA DE CV,061761,2018Q1,58058.766,228937.17,163956.45,655.23602,5331,15071.03,MX01EL000003,2967084,0
BESI-BE SEMICONDUCTOR INDS,061814,2018Q1,393.27997,937.79797,465.47101,472.327,3559,154.937,NL0012866412,BG0SCK9,0
NICE LTD,061902,2018Q1,6.7401123,3026.5061,1173.282,1853.224,7372,335.44199,IL0002730112,6647133,0
FLETCHER BUILDING LTD,062403,2018Q1,1557,7972,4677,2696,3270,2444.5,NZFBUE0001S0,6341606,0
ALPHA BANK SA,062410,2018Q1,7977.0796,59326.965,50950.074,463.10999,6020,,GRS015003007,BZ1MXR7,0
SCANIA AB,062557,2018Q1,43126,188008,135234,52759,3711,31115,SE0000308280,B1RDYG2,0
MOSENERGO PJSC,062806,2018Q1,278605,342637,63543,166124,4991,72197,RU0008958863,B59MBC0,0
MACRONIX INTL CO LTD,062824,2018Q1,26756.361,48300.238,21497.801,18047.758,3674,9061.1348,TW0002337003,6574101,0
GUANGSHEN RAILWAY CO LTD,062844,2018Q1,26802.652,33999.738,4947.686,7083.5371,4011,4876.606,CNE100000379,6388700,0
NAMPAK LTD,062997,2018Q1,6788.6006,23647.9,13715.8,35.5,3411,4422.6499,ZAE000071676,B0KS382,0
TOLL NZ LTD,063050,2018Q1,621.40002,1195.4,571.5,1053.8,4011,146.35001,NZTRHE0001S4,6909190,0
BCO BILBAO VIZCAUA ARG CHILE,063069,2018Q1,885565,13971713,13049401,324341,6020,,CLP102411004,2018131,0
DASSAULT SYSTEMS SA,063169,2018Q1,1175.6001,7161.1001,3086.3,4073.2,7372,769.29999,FR0000130650,5330047,0
CHECK POINT SOFTWARE TECHN,063185,2018Q1,2751.9519,5422.231,1840.811,.77399999,7372,452.32599,IL0010824113,5410143,0
QIAGEN NV,063186,2018Q1,60.447021,5105.356,2524.8159,2.7019999,3826,343.56799,NL0012169213,BYXS699,0
TELEFONICA DEL PERU SA,063205,2018Q1,2609.4502,13548.02,7325.8232,2876.1521,4813,2000.734,PEP705001209,2186986,0
PFEIFFER VACUUM TECHNOLOGY,063265,2018Q1,228.66101,575.74701,239.19099,25.261,3560,170.42101,DE0006916604,5499238,0
SCOR SE,063759,2018Q1,5318,44063,37886,6147,6311,,FR0010411983,B1LB9P6,0
MARICO LTD,063830,2018Q1,20091.098,40814.898,15261.1,1290.9,2844,14800.9,INE196A01026,B1S34K5,0
CIA BRASILEIRA DE DISTRIB,063904,2018Q1,11350,45416,32146,6822,5411,11343,BRPCARACNPR0,B5VGS74,0
VEON LTD,063987,2018Q1,-3288,18750,15129,2,4812,2217,RU0009100044,5241730,0
TATNEFT PJSC,064181,2018Q1,,1107300,355633,11767,2911,188345,RU0009033591,B59BXN2,0
CHINA EASTERN AIRLINES CORP,064336,2018Q1,47907,227472,168502,14467,4512,26753,CNE1000002K5,6171375,0
COPEL-CIA PARANAENSE ENERGIA,064577,2018Q1,9369.5225,33718.426,17884.52,7910,4911,3348.6809,BRCPLEACNPB9,2200154,0
VIA VAREJO SA,064601,2018Q1,1598,19033,16186,2896,5700,6624,BRVVARACNOR1,B7VY430,0
HIPERMARC SA,064746,2018Q1,76676.602,99007.992,22323.051,71560.359,5411,2581.4199,CL0000004060,2220550,0
BOLIDEN AB,064894,2018Q1,34130,60084,22349,37726,3330,13331,SE0011088665,BDFD9D0,0
EDP ENERGIAS DE PORTUGAL SA,064910,2018Q1,6614.6948,40891.852,27356.641,3656.5381,4911,4032.3899,PTEDP0AM0009,4103596,0
PHILIPPINE NATIONAL BANK,065025,2018Q1,104685.62,850702.69,729496.88,49965.586,6020,,PHY7027H1583,6685694,0
ARCELORMITTAL,065248,2018Q1,36932,87963,45272,40608,3312,19186,LU1598757687,BYPBS67,0
TV AZTECA SA DE CV,065292,2018Q1,-1583.9263,31583.346,27478.705,715.80298,4833,3427.3999,MX01AZ060013,2096911,0
ELBIT SYSTEMS LTD,065380,2018Q1,995.3252,4905.5781,3154.429,1740.866,7373,818.52802,IL0010811243,6308913,0
MTG-MODERN TIMES GROUP AB,065423,2018Q1,-1585,19889,12804,5590,4833,4674,SE0000412371,B151P43,0
THE NAVIGATOR COMPANY SA,065439,2018Q1,836.96088,2458.561,1236.272,500,2600,384.93951,PTPTI0AM0006,7018556,0
RADCOM,065460,2018Q1,,90.400002,11.811,.634,7373,10.903,IL0010826688,B10G4N5,0
TEFRON LTD,065461,2018Q1,23.032,73.568001,48.837002,33.617001,2340,32.972,IL0010825854,B0LT7K4,0
NORDIC AMERICAN TANKERS LTD,065500,2018Q1,,1106.95,422.832,684.11798,4400,,BMG657731060,B16FN84,0
BANCO SANTANDER RIO SA,065581,2018Q1,27249.488,328779.44,298364.06,2157.75,6020,,ARBRIO010194,2107727,0
CHINA MOBILE LTD,065662,2018Q1,,,,,4812,185500,HK0941009539,6073556,0
FRED OLSEN ENERGY ASA,065767,2018Q1,,1403.5,851.09998,193.3,1381,71.400002,NO0003089005,5344101,0
SKY NETWORK TELEVISION LTD,066001,2018Q1,-123.08307,1873.991,518.23102,577.40302,4841,216.5425,NZSKTE0001S6,B0C5VF4,0
ASIA CEMENT CORP,066600,2018Q1,144042.08,249899.88,101266.41,33614.473,3241,16573.883,TW0001102002,6056331,0
STANDARD MOTOR PRODS,10000,2018Q1,337.564,846.20001,386.69101,47.872002,3690,261.82599,US8536661056,,0
BAYWA AG,100010,2018Q1,1160.8,7100.8999,5709.8999,89.599998,5150,3798.6001,DE0005194062,5838057,0
BIC SOCIETE,100013,2018Q1,,2367.8999,664.70001,1703.2,3950,415.39999,FR0000120966,5298781,0
BAYER MOTOREN WERKE AG,100022,2018Q1,55106,196218,139724,658,3711,22694,DE0005190003,5756029,0
HONG LEONG INDUSTRIES BHD,100023,2018Q1,1474.244,1961.4,476.983,321.21701,3674,629.42603,MYL3301OO008,6436308,0
SINGAPORE PRESS HOLDINGS LTD,100025,2018Q1,4113.4014,6334.6592,2011.606,522.80902,2711,241.08099,SG1P66918738,B012899,0
LINDE AG,100037,2018Q1,2715,33186,17955,475,2810,4044,DE0006483001,5740817,0
WH SMITH PLC,100041,2018Q1,132,500,298,24,5940,321.5,GB00B2PDGW16,B2PDGW1,0
SMITHS GROUP PLC,100045,2018Q1,200,4686,2720,148,3812,774.5,GB00B1WY2338,B1WY233,0
GENTING BHD,100050,2018Q1,50121.227,92028.461,35499.117,2875.8191,7011,5250.7559,MYL3182OO002,B1VXJL8,0
KEPPEL CORPORATION LTD,100076,2018Q1,12016.785,27670.086,15522.532,1291.722,1389,1469.917,SG1U68934629,B1VQ5C0,0
STANDEX INTERNATIONAL CORP,10008,2018Q1,73.466003,879.94,453.51599,41.976002,3585,214.379,US8542311076,,0
BAYER AG,100080,2018Q1,12719,75394,37010,2117,2800,9138,DE000BAY0017,5069211,1
BAYER AG,100080,2018Q1,15669.807,92885.406,45596.32,2608.144,2800,11258.016,US0727303028,,2
LAURA ASHLEY HOLDINGS PLC,100094,2018Q1,36.900009,129.10001,90.599998,37.299999,5712,67.349998,GB0000533728,0053372,0
BILFINGER SE,100102,2018Q1,505,3491,2187,1321,1600,928,DE0005909006,5117381,0
DEUTSCHE LUFTHANSA AG,100103,2018Q1,6761,38308,29704,1206,4512,5785,DE0008232125,5287488,1
DEUTSCHE LUFTHANSA AG,100103,2018Q1,8329.5527,47195.457,36595.328,1485.792,4512,9412.4805,US2515613048,,2
LONMIN PLC,100147,2018Q1,308,905,579,586,3330,280.5,GB00BYSRJ698,BYSRJ69,0
STANLEY BLACK & DECKER INC,10016,2018Q1,-3883.3008,19683.199,11241.4,442.29999,3540,3209.3,US8545021011,,0
BARLOWORLD LTD,100166,2018Q1,16650,47358,27340,441,5080,15425,ZAE000026639,6079123,0
BARRATT DEVELOPMENTS PLC,100171,2018Q1,3375.4998,6687.2998,2419.6001,101.2,1520,994,GB0000811801,0081180,0
CHUAN HUP HOLDINGS LTD,100239,2018Q1,322.88501,457.78,134.815,150.86301,9998,84.686996,SG1H43875910,6185514,0
HEINEKEN MALAYSIA BHD,100241,2018Q1,387.53299,752.41699,343.146,151.049,2082,433.81299,MYL3255OO006,6397803,0
AMCOR LTD,100243,2018Q1,-1476.2002,9060,8102.1001,1439,2670,2251.1001,AU000000AMC4,6066608,1
AMCOR LTD,100243,2018Q1,,,,,2670,,US02341R3021,,2
AGL ENERGY,100251,2018Q1,4558,14357,6521,6223,4932,3225,AU000000AGL7,BSS7GP5,0
FENNER PLC,100262,2018Q1,170.10001,715.20001,384,48.5,3050,177.05,GB0003345054,0334505,0
CYCLE & CARRIAGE BINTANG BHD,100267,2018Q1,258.45697,701.90399,433.60501,124.602,5500,388.582,MYL2925OO005,6242301,0
PETRON MALAYSIA REFINING,100282,2018Q1,1583.2369,2670.783,1087.488,143,2911,2726.875,MYL3042OO008,6321590,0
JARDINE CYCLE & CARRIAGE LTD,100296,2018Q1,12084.501,26054.301,12293.1,1381,3751,4643.2002,SG1B51001017,6242260,0
STARRETT (L.S.) CO  -CL A,10030,2018Q1,79.123993,195.21899,101.549,6.9980001,3420,51.818001,US8556681091,,0
NSL LTD,100308,2018Q1,578.64899,723.57098,133.467,193.839,3270,107.068,SG1F87001375,6623616,0
FRASER & NEAVE LTD,100340,2018Q1,3022.095,4906.4028,1757.804,851.94098,2020,487.06299,SG1T58930911,B17NLV6,0
STATE STREET CORP,10035,2018Q1,14753,250286,227887,504,6020,3218,US8574771031,,0
COMFORT GLOVES BHD,100367,2018Q1,,332.89301,80.137001,142.86301,3060,106.583,MYL2127OO008,B01RN99,0
GEA GROUP AG,100368,2018Q1,206.58276,5763.2959,3302.2771,487.927,3550,1039.363,DE0006602006,4557104,0
HEIDELBERGCEMENT AG,100373,2018Q1,4058.5986,34271.699,18812.9,595.20001,3241,3629.3999,DE0006047004,5120679,0
HAW PAR CORP LTD,100425,2018Q1,3216.2859,3322.8589,95.457001,259.94501,2834,60.016998,SG1D25001158,6415523,0
WHEELOCK PROPERTIES (SGP),100426,2018Q1,3206.0178,3377.9529,171.50101,1055.901,6552,,SG1N72002107,6564522,0
HAPAG-LLOYD AG,100431,2018Q1,2708,14331.4,8461.9004,175.8,4412,2616.7,DE000HLAG475,BYZTSW7,0
AVI LTD,100434,2018Q1,4136.5005,9458.4004,4328.6001,280.29999,2000,3650.2,ZAE000049433,6040958,0
ORICA LTD,100442,2018Q1,1166.9999,6917.8999,4137,2091.6001,2890,1266,AU000000ORI1,6458001,0
KUKA AG,100449,2018Q1,347.59991,2741.7,1874.3,103.4,3569,744.5,DE0006204407,5529191,0
BRAMBLES LTD,100461,2018Q1,2113.9995,8257.5996,5096.5,6213,7359,1373.05,AU000000BXB1,B1FJ0C0,0
SASOL LTD,100465,2018Q1,214567,406877,189955,29282,2911,44076.5,ZAE000006896,6777450,1
SASOL LTD,100465,2018Q1,,,,,2911,,US8038663006,,2
RENISHAW PLC,100498,2018Q1,472.92703,658.98602,168.30099,14.558,3829,139.729,GB0007323586,0732358,0
CARR'S GROUP PLC,100530,2018Q1,84.914993,237.07899,125.888,2.2850001,2870,100.054,GB00BRK01058,BRK0105,0
STEPAN CO,10056,2018Q1,732.58209,1480.6331,705.20697,26.268,2840,499.33499,US8585861003,,0
E.ON SE,100590,2018Q1,2082.0806,68043.359,59023.887,2711.6321,9997,11494.56,US2687801033,,1
E.ON SE,100590,2018Q1,1690,55230,47909,2201,9997,9407,DE000ENAG999,4942904,2
CONTINENTAL AG,100609,2018Q1,10497.625,47856.055,26898.01,630.784,3714,13567.646,US2107712000,,1
CONTINENTAL AG,100609,2018Q1,8520.7988,38844.199,21832.801,512,3714,11012.7,DE0005439004,4598589,2
FERGUSON PLC,100644,2018Q1,,,,,5070,5191,US31502A2042,,1
FERGUSON PLC,100644,2018Q1,3038,12676,8125,45,5070,5013.5,JE00BFYFZP55,BFYFZP5,2
CHINA MOTOR BUS CO LTD,100652,2018Q1,,8634.1426,236.38901,92.537003,6500,,HK0026000205,6190897,0
MJ GLEESON PLC,100654,2018Q1,,210.01199,36.280998,1.091,1520,38.699001,GB00BRKD9Z53,BRKD9Z5,0
MARSTONS PLC,100659,2018Q1,600.40009,2998.3,2100.2,48.700001,5810,264.5,GB00B1JQDM80,B1JQDM8,0
TUI AG,100676,2018Q1,86.899902,12993,9482,1501.6,4700,3549.3999,DE000TUAG000,5666292,0
STRAITS TRADING CO LTD,100695,2018Q1,1507.8849,2511.1379,978.56,568.96802,3330,131.071,SG1J49001550,6853521,0
UNITED ENGINEERS LTD,100700,2018Q1,,3348.2471,1125.42,808.03003,8711,105.248,SG1K25001639,6915120,0
UIC-UNITED INDUST CORP LTD,100704,2018Q1,,8285.4102,864.25201,1565.191,6552,,SG1K37001643,6916532,0
VARTA AG,100722,2018Q1,218.78,342.267,103.966,38.200001,3690,69.050003,DE000A0TGJ55,5802449,0
BELLWAY PLC,100728,2018Q1,,3373.3,1049.4,15.3,1520,662.20001,GB0000904986,0090498,0
AVON RUBBER PLC,100730,2018Q1,40.700001,150.5,88.599998,31,3842,38.849998,GB0000667013,0066701,0
RENEW HOLDINGS,100734,2018Q1,-30.667004,184.83099,162.282,6.2589998,1600,130.653,GB0005359004,0535900,0
K&S AG,100736,2018Q1,3070,9536.5,5535,191.39999,2870,1169.8,DE000KSAG888,B54C017,0
VOLKSWAGEN AG,100737,2018Q1,47299,432069,321367,1283,3711,58228,DE0007664039,5497168,1
VOLKSWAGEN AG,100737,2018Q1,58271.117,532309,395924.16,,3711,71736.898,US9286623031,,2
HOLMEN AB,100744,2018Q1,22299,35588,13201,22387,2621,4099,SE0011090018,BDQQ1Q5,0
CECONOMY AG,100746,2018Q1,116,11448,10698,835,5399,6935,DE0007257503,5041413,0
PRECIPITATE GOLD CORP,10078,2018Q1,2.421,2.4909999,.07,11.873,1040,0,US74019D1054,,0
VOPAK (KONINKLIJKE) NV,100783,2018Q1,,,,,4220,316.20001,NL0009432491,5809428,0
MCPHERSONS LTD,100800,2018Q1,12.695999,208.243,121.375,155.02,3460,53.029499,AU000000MCP2,6542056,0
GUOCOLAND LTD,100830,2018Q1,,8896.3027,4870.3418,1926.053,6552,,SG1R95002270,6786735,0
UNITED PLANTATIONS BHD,100837,2018Q1,2587.3398,2921.7029,297.99301,390.05399,100,325.54401,MYL2089OO000,6917148,0
STEWART INFORMATION SERVICES,10086,2018Q1,326.92896,1351.528,695.32501,24.086,6361,437.23001,US8603721015,,0
ADECCO GROUP AG,100862,2018Q1,307,10189,6567,11,7363,5692,CH0012138605,7110720,0
NIELSEN HOLDINGS PLC,100873,2018Q1,-9148,16923,12465,32,8700,1610,USG6518L1082,,0
WOOLWORTHS GROUP LTD,100894,2018Q1,3934,23783,13423,5976,5411,14903.5,AU000000WOW2,6981239,0
GALLIFORD TRY PLC,100900,2018Q1,389.60001,3308.8999,2741.8999,41.400002,1540,701.25,GB00B3Y2J508,B3Y2J50,0
TAN CHONG MOTOR HOLDINGS BHD,100901,2018Q1,2773.1638,5352.5259,2564.77,336,3711,1034.618,MYL4405OO006,6871125,0
HENGYUAN REFINING CO BHD,100903,2018Q1,1753.139,4094.312,2308.386,300,2911,3060.7839,MYL4324OO009,6803504,0
ORKLA ASA,100913,2018Q1,14922,52496,17675,1995,9997,9711,NO0003733800,B1VQF42,0
LENDLEASE GROUP,100918,2018Q1,5021.8994,15792,9362.9004,2499.8999,6500,,AU000000LLC3,6512004,0
CITY DEVELOPMENTS LTD,100922,2018Q1,,19601.246,7292.0371,1991.397,6552,,SG1R89002252,6197928,0
UEM EDGENTA BHD,100931,2018Q1,712.28094,2962.605,1528.598,268.07401,8744,460.79001,MYL1368OO009,6310985,0
TASEK CORP BHD,100939,2018Q1,579.08801,705.17499,124.76,258.29999,3241,136.32899,MYL4448OO006,6874704,0
BRITISH AMER TOB (MALAYSIA),100945,2018Q1,-57.889008,979.87598,624.64697,142.765,2100,637.64899,MYL4162OO003,6752349,0
DIPLOMA PLC,100951,2018Q1,96.800011,360.60001,96.099998,5.6999998,5065,117.45,GB0001826634,0182663,0
MMC CORPORATION BHD,100952,2018Q1,7998.6152,22988.15,12673.212,2344.2759,4931,1279.683,MYL2194OO008,6556648,0
RWE AG,100953,2018Q1,1367,71563,57740,8295,4911,11615,DE0007037129,4768962,1
RWE AG,100953,2018Q1,1684.1455,88165.617,71135.68,,4911,14309.68,US74975E3036,,2
SWEDISH MATCH AB,100956,2018Q1,-5588,15134,18599,-3466,2100,2940,SE0000310336,5048566,0
PUBLIC STORAGE,10096,2018Q1,8705.0566,10685.52,1769.73,17.393,6798,706.263,US74460D1090,,0
ST IVES PLC,100968,2018Q1,-61.220016,267.36499,200.52901,14.284,2750,73.233498,GB0007689002,0768900,0
SKANSKA AB,100980,2018Q1,22358,110524,82384,28011,1520,34666,SE0000113250,7142091,0
MAGNUM BHD,100983,2018Q1,-219.17493,3653.011,1133.83,2154.3569,7990,712.35199,MYL3859OO005,6609627,0
OUE LTD,101011,2018Q1,4930.3081,9259.8672,4307.0391,693.315,6510,,SG2B80958517,6663827,0
METSA BOARD CORP,101017,2018Q1,1113.9999,2306.3999,1166.6,557.90002,2621,492.29999,FI0009000665,5071432,0
KONE OYJ,101023,2018Q1,774.79993,6791.3999,4433,65.900002,3530,2008,FI0009013403,B09M9D2,0
TRELLEBORG AB,101048,2018Q1,5377,51439,22137,29302,3060,8577,SE0000114837,4902384,0
AXEL SPRINGER SE,101059,2018Q1,-1095.6997,6752.2002,3891.8999,2340.8999,2711,773.5,DE0005501357,4647317,0
FRIWO AG,101124,2018Q1,,,,,3679,34,DE0006201106,4352484,0
STRYKER CORP,10115,2018Q1,-2189,22133,12910,37,3842,3241,US8636671013,,0
NKT A/S,101156,2018Q1,198.30005,1923.3,1148.4,72.800003,3580,363.5,DK0010287663,7106354,0
FLSMIDTH & CO AS,101178,2018Q1,1642,21349,13291,1025,3559,4235,DK0010234467,5263574,0
SANOFI,101204,2018Q1,-3949,111663,53410,58088,2834,7898,FR0000120578,5671735,1
SANOFI,101204,2018Q1,,,,,2834,10011.232,US80105N1054,,2
NAVIENT CORP,10121,2018Q1,2866,113209,109541,4,6111,1335,US63938C1080,,0
STURM RUGER & CO INC,10124,2018Q1,238.521,303.27499,64.753998,24.110001,3480,131.159,US8641591081,,0
SANTA FE GROUP A/S,101290,2018Q1,16.399994,201.7,124.8,115.9,2000,60.900002,DK0010006329,4297604,0
PUBLICIS GROUPE SA,101292,2018Q1,,,,,7311,2804.032,US74463M1062,,0
NOVARTIS AG,101310,2018Q1,4961,135524,64313,969,2834,12694,US66987V1098,,1
NOVARTIS AG,101310,2018Q1,4961,135524,64313,969,2834,12694,CH0012005267,7103065,2
ARIADNE AUSTRALIA LTD,101349,2018Q1,,190.453,11.422,380.47601,6510,,AU000000ARA7,6049643,0
DFDS AS,101363,2018Q1,5539.8003,13164.4,6765.2002,1140,4412,3485,DK0060655629,BYSS4Q7,0
CEMENTIR HOLDING SPA,101364,2018Q1,,,,,3241,242.33099,IT0003126783,7148624,0
BEACH ENERGY LTD,101392,2018Q1,,2142.1001,378.39999,1857.4,1311,192.95,AU000000BPT9,6088204,0
PERNOD RICARD SA,101396,2018Q1,-2135,29797,15241,411,2084,2541,FR0000120693,4682329,0
HAP SENG CONSOLIDATED BHD,101453,2018Q1,7183.1758,13477.344,6257.4321,3519.554,9997,1474.733,MYL3034OO005,6297743,0
CHEMICAL CO OF MALAYSIA BHD,101454,2018Q1,209.81995,869.15698,562.18903,81.919998,2870,101.399,MYL2879OO004,6189806,0
VALLOUREC SA,101467,2018Q1,2215,6685,4049,2363,3533,862,FR0000120354,B197DR6,0
AIR FRANCE - KLM,101475,2018Q1,971,30245,27912,429,4512,5806,FR0000031122,4916039,1
AIR FRANCE - KLM,101475,2018Q1,1196.2699,37261.84,34387.586,528.52802,4512,7152.9922,US0091191082,,2
BORDING (FE) A/S,101487,2018Q1,9.0130005,476.34201,278.74701,33.796001,2750,162.228,DK0010008028,4329596,0
ARKIL HOLDING A/S,101491,2018Q1,651.29999,1759,959.90002,49.099998,1600,499.39999,DK0010025113,4664480,0
BRODRENE HARTMANN A/S,101493,2018Q1,677.5,1820.9,1045.9,140.3,2670,623.70001,DK0010256197,5722581,0
UMW HOLDINGS BHD,101509,2018Q1,4293.0845,10176.071,5880.5459,584.14697,3711,2415.3391,MYL4588OO009,6910824,0
ST BARBARA LTD,101513,2018Q1,,667.50403,115.223,893.96399,1040,164.87601,AU000000SBM8,6317072,0
COLOPLAST A/S,101538,2018Q1,2463,12193,7482,216,3842,3955,DK0060448595,B8FMRX8,0
GN STORE NORD A/S,101539,2018Q1,-1759,11285,6948,583,3663,2296,DK0010272632,4501093,0
SACYR SA,101553,2018Q1,1362.1787,13471.003,11916.281,1193.365,1600,887.29797,ES0182870214,5504789,0
ACMA LTD,101555,2018Q1,31.674,85.793999,50.217999,195.039,3559,29.969999,SG1BB6000006,BYMR921,0
WARTSILA OYJ ABP,101557,2018Q1,581,5632,3465,336,3510,1066,FI0009003727,4525189,0
LE LUNDBERGFORETAGEN AB,101563,2018Q1,92793,133005,40038,63990,6799,,SE0000108847,4538002,0
LASSILA & TIKANOJA GROUP,101564,2018Q1,-11.09996,552.90002,372.29999,19.4,4950,196.5,FI0009010854,7051227,0
GUD HOLDINGS LTD,101568,2018Q1,-26.367004,502.871,293.328,112.88,3600,97.356499,AU000000GUD2,6358004,0
BILIA AB,101585,2018Q1,1446,11465,8650,257,5500,6978,SE0009921588,BDVLJ38,0
AF GLOBAL LTD,101586,2018Q1,368.83701,504.38,135.5,209.51801,7011,16.297001,SG1C01001033,6322333,0
HOTEL GRAND CENTRAL LTD,101591,2018Q1,1315.097,1563.072,245.408,455.922,7011,40.432999,SG1J41888780,6234988,0
ICP LTD,101592,2018Q1,27.75,40.824001,7.4910002,83.524002,3670,.64450002,SG2G87000003,BMH33Z1,0
HOTEL ROYAL LTD,101594,2018Q1,561.76697,749.15698,185.47,100.438,7011,16.688999,SG1P12002132,6440149,0
MACMAHON HOLDINGS LTD,101597,2018Q1,,557.61798,183.436,563.11798,1600,134.97549,AU000000MAH3,6551160,0
WESFARMERS LTD,101601,2018Q1,4884,40467,17638,22268,9998,17951.5,AU000000WES1,6948836,0
CIMIC GROUP LTD,101603,2018Q1,,,,,8711,3225,AU000000CIM7,BX17Q13,0
REECE LTD,101605,2018Q1,968.68994,1710.735,519.59601,9.96,5070,666.15302,AU000000REH4,6728801,0
HWA HONG CORP LTD,101608,2018Q1,,275.89001,78.960999,172.15401,6500,,SG1H85877246,6204873,0
GEDI GRUPPO EDITORIALE S.P.A,101612,2018Q1,-26.299988,1139,579.59998,76.300003,2711,155.8,IT0001398541,5836200,0
NUFARM LTD,101613,2018Q1,1092.7832,4387.9121,2366.334,1536.6281,2870,730.065,AU000000NUF3,6335331,0
NORTHAMBER PLC,101625,2018Q1,,28.158001,10.294,.28099999,5045,15.8295,GB00B2Q99X01,B2Q99X0,0
HOTEL PROPERTIES LTD,101628,2018Q1,2259.8721,3227.355,951.85498,722.59302,7011,173.382,SG2P14002527,6440183,0
LEIFHEIT AG,101658,2018Q1,82.927002,233.349,130.922,30,3460,62.226002,DE0006464506,4752073,0
HUHTAMAKI OYJ,101714,2018Q1,560.20007,2938.1001,1718.4,366.39999,2670,725.20001,FI0009000459,4447476,0
UPM-KYMMENE CORP,101718,2018Q1,8445,12938,3960,890,2621,2512,FI0009005987,5051252,0
STOCKMANN AB,101736,2018Q1,181,2044,1195,144.10001,5311,202.39999,FI0009000251,5462393,0
AMER SPORTS CORP,101737,2018Q1,189.69995,2373.7,1544,292.20001,3949,623.79999,FI0009000285,4024006,0
FISKARS OY,101739,2018Q1,736.19995,1829.1,588.90002,77.599998,3420,266.10001,FI0009000400,5576573,0
GWA GROUP LTD,101742,2018Q1,10.28801,524.23401,199.54601,307.79001,3430,113.5475,AU000000GWA4,6392949,0
RIAS A/S,101791,2018Q1,103.91199,199.20799,39.032001,23.063,5099,60.328499,DK0010125848,4737702,0
MONBERG & THORSEN A/S,101794,2018Q1,,,,,1600,,DK0010224310,5001332,0
LAI SUN GARMENT (INTL) LTD,101807,2018Q1,31307.139,45317.508,14005.209,1232.007,2300,,HK0000356805,BF99WX9,0
SKAKO AS,101809,2018Q1,83.335007,259.479,167.224,31.063999,3531,77.015999,DK0010231877,5224010,0
DYNAMIC HOLDINGS LTD,101812,2018Q1,,2785.8679,620.72101,225.06599,6512,,BMG2889K1678,6290117,0
INVESTERINGSSELSKABET LUXOR,101818,2018Q1,,865.237,510.69901,100,6799,,DK0010213628,4542230,0
TIETO CORP,101828,2018Q1,-92.800049,1132.1,741.40002,76.599998,7370,406.29999,FI0009000277,5479702,0
VEIDEKKE A/S,101833,2018Q1,2461,17586,13556,67,1500,7023,NO0005806802,B1XCHJ7,0
WILH WILHELMSEN HOLDING ASA,101836,2018Q1,2183,3478,1117,122,4412,210,NO0010571698,B682WX6,0
OUTOKUMPU OY,101839,2018Q1,2113,6213,3558,311,3312,1671,FI0009002422,4665148,0
SUNTRUST BANKS INC,10187,2018Q1,15942,204885,180616,552,6020,2464,US8679141031,,0
SIME DARBY BHD,101877,2018Q1,40115,68195,26467,9299,9997,8144,MYL4197OO009,B29TTR1,0
ADCOCK INGRAM HOLDINGS LTD,101933,2018Q1,3317.7058,5906.2788,2243.6021,17.146999,2834,1599.512,ZAE000123436,B3BX6X3,0
DMG MORI AG,101937,2018Q1,,,,,3540,581.79999,DE0005878003,5753398,0
HENKEL AG & CO KGAA,101942,2018Q1,249,29436,13596,438,2840,4835,DE0006048432,5076705,0
NTR HOLDING A/S,101949,2018Q1,6.1999931,160.7,37.200001,49.5,3272,21.4,DK0010027671,4726410,0
SUPERIOR INDUSTRIES INTL,10195,2018Q1,114.69403,1617.801,989.10699,.25,3714,386.448,US8681681057,,0
